epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,1953.96,3.38059,8.44284,1.97038,0.69329,0.39878,0.53598,0.33741,2.41621,7.96056,1.98117,0.000399727,0.000399727,0.000399727
4,2605.36,3.41199,7.62152,1.93026,0.80688,0.45833,0.56845,0.3568,2.60874,7.57683,2.25093,0.0003515,0.0003515,0.0003515
5,3257.47,3.31693,6.44706,1.97272,0.67731,0.33333,0.48024,0.28438,2.49974,6.7021,2.12635,0.000302,0.000302,0.000302
6,3912.68,3.08163,5.36347,1.92454,0.78307,0.41667,0.46355,0.29303,2.09065,5.22614,1.88969,0.0002525,0.0002525,0.0002525
7,4564.75,2.89652,4.76066,1.86819,0.91997,0.45549,0.57121,0.4082,1.77122,5.77292,1.80863,0.000203,0.000203,0.000203
8,5225.81,2.98378,4.40296,1.87477,0.68859,0.47536,0.60294,0.40064,1.86315,4.94452,1.84223,0.0001535,0.0001535,0.0001535
9,5881.65,2.9342,4.1856,1.84078,0.69843,0.52565,0.63359,0.43686,1.97647,4.28554,1.86199,0.000104,0.000104,0.000104
10,6543.8,2.76636,3.76292,1.81477,0.65504,0.66667,0.60577,0.42654,1.98347,3.83982,1.88174,5.45e-05,5.45e-05,5.45e-05
1,659.374,3.24578,3.57608,1.82739,0.86873,0.45833,0.66826,0.47674,2.25965,3.47234,2.01788,0.000165079,0.000165079,0.000165079
2,1316.43,3.13007,3.6051,1.87432,0.87726,0.54125,0.69709,0.50956,2.30985,3.47459,2.06441,0.000323535,0.000323535,0.000323535
3,1973.62,3.07666,3.46778,1.83389,0.17949,0.58333,0.45867,0.34125,2.48235,6.58,2.20927,0.000473741,0.000473741,0.000473741
4,2630.01,3.26618,3.71409,1.90278,1,0.31518,0.60444,0.37205,2.75133,4.53262,2.4727,0.000462875,0.000462875,0.000462875
5,3291.31,2.91237,3.12627,1.8074,0.85052,0.62046,0.69729,0.45162,2.25356,3.33683,2.03703,0.0004505,0.0004505,0.0004505
6,3954.87,3.16189,3.01465,1.86285,0.58011,0.83333,0.66732,0.44662,2.10507,3.86389,1.96772,0.000438125,0.000438125,0.000438125
1,674.512,2.85099,2.83342,1.7663,0.92559,0.29017,0.36947,0.2227,2.48446,4.65567,2.08607,0.000165079,0.000165079,0.000165079
2,1400.65,3.0441,3.11803,1.84157,0.86233,0.45833,0.59616,0.41413,2.25888,3.15476,2.0294,0.000308287,0.000308287,0.000308287
3,2062.87,3.08498,3.03422,1.83586,0.8242,0.41667,0.60019,0.38112,2.10746,4.43948,1.97349,0.000427923,0.000427923,0.000427923
4,2730.43,3.21708,3.27912,1.89067,0.15998,1,0.52281,0.31965,3.0162,3.76047,2.49838,0.000393929,0.000393929,0.000393929
5,3396.2,2.94494,3.49221,1.8995,0.93069,0.24397,0.53705,0.34863,2.21593,4.58649,1.98176,0.000358571,0.000358571,0.000358571
6,4061.8,2.97617,3.25989,1.92476,0.83834,0.63022,0.54941,0.38507,2.19513,3.61688,1.93032,0.000323214,0.000323214,0.000323214
7,4732.47,2.82756,3.02852,1.85013,0.84826,0.5,0.54475,0.36983,2.08853,2.97284,1.9232,0.000287857,0.000287857,0.000287857
8,5390.53,2.82352,2.9109,1.88792,0.73727,0.499,0.56677,0.39659,2.3461,3.05028,2.12934,0.0002525,0.0002525,0.0002525
9,6109.33,2.79306,2.92021,1.80869,0.86931,0.61743,0.59978,0.42084,2.20318,2.43994,2.07853,0.000217143,0.000217143,0.000217143
10,6814.13,2.6409,2.69287,1.83524,0.79972,0.60348,0.62487,0.46217,2.08071,2.34653,2.01967,0.000181786,0.000181786,0.000181786
11,7518.13,2.74053,2.42311,1.79781,0.90016,0.625,0.63187,0.49433,1.86311,2.32639,1.87626,0.000146429,0.000146429,0.000146429
